"Data used to generate the results reported herein. ""N.species"" is the number of species extant at a pseudolevel (age); the value for speciation includes the originating species but not the extinguishing species and, conversely, the value for extinction includes the extinguishing species but excludes the originators. Species turnover, used for spectral analysis, is simply the sum of the relevant speciation and extinction state probabilites. ﻿Raw speciation and species extinction probabilities calculated at each pseudolevel as the number of speciations or extinctions divided by the number of species extant. ﻿Raw species turnover probability calculated as the sum of raw speciation and raw extinction probability",,,,,,,,,
age,N.speciations,N.extinctions,N.turnover,N.species.speciation,N.species.extinction,raw.speciation.probability,raw.extinction.probability,raw.turnover.probability,mean.population.age.per.pseudolevel
19.75,0,0,0,38,38,0,0,0,8.459
19.85,0,0,0,38,38,0,0,0,8.359
19.95,0,0,0,38,38,0,0,0,8.259
20.05,0,0,0,38,38,0,0,0,8.159
20.15,0,0,0,38,38,0,0,0,8.059
20.25,0,0,0,38,38,0,0,0,7.959
20.35,0,0,0,38,38,0,0,0,7.859
20.45,0,0,0,38,38,0,0,0,7.759
20.55,0,0,0,38,38,0,0,0,7.659
20.65,0,0,0,38,38,0,0,0,7.559
20.75,1,0,1,38,37,0.026,0,0.026,7.459
20.85,0,0,0,37,37,0,0,0,7.560
20.95,0,1,1,37,38,0,0.026,0.026,7.460
21.05,0,0,0,38,38,0,0,0,7.382
21.15,2,1,3,38,37,0.053,0.027,0.080,7.282
21.25,0,0,0,37,37,0,0,0,7.428
21.35,1,0,1,37,36,0.027,0,0.027,7.328
21.45,1,0,1,36,35,0.028,0,0.028,7.431
21.55,0,0,0,35,35,0,0,0,7.541
21.65,0,1,1,35,36,0,0.028,0.028,7.441
21.75,0,0,0,36,36,0,0,0,7.536
21.85,1,1,2,36,36,0.028,0.028,0.056,7.436
21.95,1,0,1,36,35,0.028,0,0.028,7.635
22.05,0,0,0,35,35,0,0,0,7.751
22.15,0,0,0,35,35,0,0,0,7.651
22.25,2,0,2,35,33,0.057,0,0.057,7.551
22.35,0,0,0,33,33,0,0,0,7.904
22.45,4,0,4,33,29,0.121,0,0.121,7.804
22.55,0,0,0,29,29,0,0,0,8.775
22.65,0,1,1,29,30,0,0.033,0.033,8.675
22.75,0,0,0,30,30,0,0,0,8.373
22.85,0,0,0,30,30,0,0,0,8.273
22.95,3,4,7,30,31,0.100,0.129,0.229,8.173
23.05,0,3,3,31,34,0,0.088,0.088,8.899
23.15,0,0,0,34,34,0,0,0,9.249
23.25,0,0,0,34,34,0,0,0,9.149
23.35,0,1,1,34,35,0,0.029,0.029,9.049
23.45,0,0,0,35,35,0,0,0,8.984
23.55,0,1,1,35,36,0,0.028,0.028,8.884
23.65,0,0,0,36,36,0,0,0,8.715
23.75,0,0,0,36,36,0,0,0,8.615
23.85,0,0,0,36,36,0,0,0,8.515
23.95,0,0,0,36,36,0,0,0,8.415
24.05,0,0,0,36,36,0,0,0,8.315
24.15,0,0,0,36,36,0,0,0,8.215
24.25,0,0,0,36,36,0,0,0,8.115
24.35,0,0,0,36,36,0,0,0,8.015
24.45,0,0,0,36,36,0,0,0,7.915
24.55,0,0,0,36,36,0,0,0,7.815
24.65,0,0,0,36,36,0,0,0,7.715
24.75,0,1,1,36,37,0,0.027,0.027,7.615
24.85,1,0,1,37,36,0.027,0,0.027,7.558
24.95,0,0,0,36,36,0,0,0,7.667
25.05,0,0,0,36,36,0,0,0,7.567
25.15,0,0,0,36,36,0,0,0,7.467
25.25,2,0,2,36,34,0.056,0,0.056,7.367
25.35,1,0,1,34,33,0.029,0,0.029,7.699
25.45,0,0,0,33,33,0,0,0,7.832
25.55,0,0,0,33,33,0,0,0,7.732
25.65,0,0,0,33,33,0,0,0,7.632
25.75,0,0,0,33,33,0,0,0,7.532
25.85,0,0,0,33,33,0,0,0,7.432
25.95,2,0,2,33,31,0.061,0,0.061,7.332
26.05,1,0,1,31,30,0.032,0,0.032,7.705
26.15,0,0,0,30,30,0,0,0,7.861
26.25,0,0,0,30,30,0,0,0,7.761
26.35,0,0,0,30,30,0,0,0,7.661
26.45,1,0,1,30,29,0.033,0,0.033,7.561
26.55,0,3,3,29,32,0,0.094,0.094,7.719
26.65,0,0,0,32,32,0,0,0,7.913
26.75,1,0,1,32,31,0.031,0,0.031,7.813
26.85,0,1,1,31,32,0,0.031,0.031,7.965
26.95,0,1,1,32,33,0,0.030,0.030,7.930
27.05,0,0,0,33,33,0,0,0,7.705
27.15,0,0,0,33,33,0,0,0,7.605
