"age","mean.lifespan"
"163",16.15,13.9100833333333
"164",16.25,13.8100833333333
"165",16.35,13.7100833333333
"166",16.45,13.6100833333333
"167",16.55,13.5180416666667
"168",16.65,13.2260612244898
"169",16.75,13.1260612244898
"170",16.85,12.8314
"171",16.95,12.76958
"172",17.05,12.9285918367347
"173",17.15,13.0967291666667
"174",17.25,13.4042765957447
"175",17.35,13.3042765957447
"176",17.45,13.6090869565217
"177",17.55,13.7598367346939
"178",17.65,13.4282941176471
"179",17.75,13.273641509434
"180",17.85,14.1362745098039
"181",17.95,14.3488
"182",18.05,14.2488
"183",18.15,13.6467692307692
"184",18.25,13.4083018867925
"185",18.35,13.3083018867925
"186",18.45,13.2083018867925
"187",18.55,13.1083018867925
"188",18.65,13.2601538461538
"189",18.75,12.9267407407407
"190",18.85,12.7456
"191",18.95,12.5162857142857
"192",19.05,12.4162857142857
"193",19.15,13.1056727272727
"194",19.25,13.2480925925926
"195",19.35,13.1480925925926
"196",19.45,13.1760925925926
"197",19.55,13.5815961538462
"198",19.65,13.7113518518519
"199",19.75,13.6113518518519
"200",19.85,13.5218727272727
"201",19.95,13.2244821428571
"202",20.05,13.1244821428571
"203",20.15,13.2614181818182
"204",20.25,13.1535357142857
"205",20.35,13.0535357142857
"206",20.45,13.483
"207",20.55,13.383
"208",20.65,13.5657543859649
"209",20.75,13.7078035714286
"210",20.85,13.6078035714286
"211",20.95,13.5078035714286
"212",21.05,13.4866071428571
"213",21.15,13.5987321428571
"214",21.25,13.738775862069
"215",21.35,13.8794210526316
"216",21.45,13.4314406779661
"217",21.55,13.3314406779661
"218",21.65,13.2314406779661
"219",21.75,12.9794833333333
"220",21.85,13.0987966101695
"221",21.95,12.9987966101695
"222",22.05,12.8987966101695
"223",22.15,13.0196724137931
"224",22.25,12.9196724137931
"225",22.35,13.2793928571429
"226",22.45,13.1793928571429
"227",22.55,13.0793928571429
"228",22.65,12.9793928571429
"229",22.75,13.1143272727273
"230",22.85,13.2561296296296
"231",22.95,13.1561296296296
"232",23.05,13.0802592592593
"233",23.15,13.0103703703704
"234",23.25,13.1548113207547
"235",23.35,13.5681960784314
"236",23.45,13.7394
"237",23.55,13.6394
"238",23.65,13.5394
"239",23.75,13.4394
"240",23.85,13.3394
"241",23.95,13.2394
"242",24.05,13.1394
"243",24.15,13.0394
"244",24.25,12.9394
"245",24.35,12.8349019607843
"246",24.45,12.8202156862745
"247",24.55,13.12846
"248",24.65,13.02846
"249",24.75,13.15332
"250",24.85,13.1991
"251",24.95,13.1336153846154
"252",25.05,13.0336153846154
"253",25.15,13.1088867924528
"254",25.25,13.0088867924528
"255",25.35,12.9088867924528
"256",25.45,13.0555192307692
"257",25.55,12.9555192307692
"258",25.65,12.8555192307692
"259",25.75,12.7555192307692
"260",25.85,12.9053529411765
"261",25.95,12.8053529411765
"262",26.05,12.7053529411765
"263",26.15,12.6053529411765
"264",26.25,12.6203725490196
"265",26.35,12.5203725490196
"266",26.45,12.4203725490196
"267",26.55,12.3203725490196
"268",26.65,12.46504
"269",26.75,12.36504
"270",26.85,12.26504
"271",26.95,12.4145306122449
"272",27.05,12.3145306122449
"273",27.15,12.2145306122449
"274",27.25,12.1145306122449
"275",27.35,11.86864
"276",27.45,11.8412156862745
"277",27.55,11.7412156862745
"278",27.65,11.8755
"279",27.75,11.7755
"280",27.85,11.6755
"281",27.95,11.813612244898
"282",28.05,11.713612244898
"283",28.15,12.0260196078431
"284",28.25,12.16522
"285",28.35,12.06522
"286",28.45,11.96522
"287",28.55,11.7015882352941
"288",28.65,12.0763469387755
"289",28.75,12.3467291666667
"290",28.85,12.2467291666667
"291",28.95,12.1467291666667
"292",29.05,12.8526888888889
"293",29.15,12.7526888888889
"294",29.25,12.9409090909091
"295",29.35,12.6697777777778
"296",29.45,12.5697777777778
"297",29.55,12.4697777777778
"298",29.65,12.3697777777778
"299",29.75,12.5504545454545
"300",29.85,12.4504545454545
"301",29.95,12.3504545454545
"302",30.05,12.2504545454545
"303",30.15,12.1504545454545
"304",30.25,12.0504545454545
"305",30.35,11.9504545454545
"306",30.45,11.8504545454545
"307",30.55,12.0048888888889
"308",30.65,11.9048888888889
"309",30.75,11.8048888888889
"310",30.85,11.7048888888889
"311",30.95,11.6048888888889
"312",31.05,11.5048888888889
"313",31.15,11.4048888888889
"314",31.25,11.3048888888889
"315",31.35,11.2048888888889
"316",31.45,11.1048888888889
