"age","N.speciations","N.extinctions","N.turnover","N.species.speciation","N.species.extinction","raw.speciation.probability","raw.extinction.probability","raw.turnover.probability","mean.lifespan"
"112",11.05,2,4,6,42,44,0.0476190476190476,0.0909090909090909,0.138528138528139,8.11790476190476
"113",11.15,1,1,2,44,44,0.0227272727272727,0.0227272727272727,0.0454545454545455,8.07938636363637
"114",11.25,0,1,1,44,45,0,0.0222222222222222,0.0222222222222222,8.00375
"115",11.35,0,2,2,45,47,0,0.0425531914893617,0.0425531914893617,7.78268888888889
"116",11.45,1,0,1,47,46,0.0212765957446809,0,0.0212765957446809,7.52204255319149
"117",11.55,4,6,10,46,48,0.0869565217391304,0.125,0.21195652173913,7.58360869565217
"118",11.65,0,0,0,48,48,0,0,0,8.29358333333334
"119",11.75,0,0,0,48,48,0,0,0,8.19358333333333
"120",11.85,0,1,1,48,49,0,0.0204081632653061,0.0204081632653061,8.09358333333333
"121",11.95,3,1,4,49,47,0.0612244897959184,0.0212765957446809,0.0825010855405992,7.90630612244898
"122",12.05,0,2,2,47,49,0,0.0408163265306122,0.0408163265306122,8.87291489361702
"123",12.15,1,2,3,49,50,0.0204081632653061,0.04,0.0604081632653061,9.14395918367347
"124",12.25,0,2,2,50,52,0,0.0384615384615385,0.0384615384615385,9.57602
"125",12.35,0,1,1,52,53,0,0.0188679245283019,0.0188679245283019,9.49069230769231
"126",12.45,2,1,3,53,52,0.0377358490566038,0.0192307692307692,0.056966618287373,9.3013962264151
"127",12.55,0,1,1,52,53,0,0.0188679245283019,0.0188679245283019,10.0614038461538
"128",12.65,0,1,1,53,54,0,0.0185185185185185,0.0185185185185185,10.0550943396226
"129",12.75,1,1,2,54,54,0.0185185185185185,0.0185185185185185,0.037037037037037,9.78764814814815
"130",12.85,1,1,2,54,54,0.0185185185185185,0.0185185185185185,0.037037037037037,9.73988888888889
"131",12.95,0,1,1,54,55,0,0.0181818181818182,0.0181818181818182,9.85431481481482
"132",13.05,3,4,7,55,56,0.0545454545454545,0.0714285714285714,0.125974025974026,9.65254545454545
"133",13.15,0,0,0,56,56,0,0,0,9.84941071428572
"134",13.25,2,0,2,56,54,0.0357142857142857,0,0.0357142857142857,9.74941071428572
"135",13.35,1,0,1,54,53,0.0185185185185185,0,0.0185185185185185,10.0094444444444
"136",13.45,3,3,6,53,53,0.0566037735849057,0.0566037735849057,0.113207547169811,10.097358490566
"137",13.55,0,0,0,53,53,0,0,0,10.1810943396226
"138",13.65,4,1,5,53,50,0.0754716981132075,0.02,0.0954716981132075,10.0810943396226
"139",13.75,3,0,3,50,47,0.06,0,0.06,10.62704
"140",13.85,1,2,3,47,48,0.0212765957446809,0.0416666666666667,0.0629432624113475,11.2031276595745
"141",13.95,1,0,1,48,47,0.0208333333333333,0,0.0208333333333333,11.0754583333333
"142",14.05,0,2,2,47,49,0,0.0408163265306122,0.0408163265306122,11.2102765957447
"143",14.15,0,1,1,49,50,0,0.02,0.02,10.8202040816327
"144",14.25,1,1,2,50,50,0.02,0.02,0.04,10.53176
"145",14.35,2,1,3,50,49,0.04,0.0204081632653061,0.0604081632653061,10.80478
"146",14.45,1,0,1,49,48,0.0204081632653061,0,0.0204081632653061,11.1004285714286
"147",14.55,0,0,0,48,48,0,0,0,11.2296666666667
"148",14.65,0,0,0,48,48,0,0,0,11.1296666666667
"149",14.75,0,0,0,48,48,0,0,0,11.0296666666667
"150",14.85,0,2,2,48,50,0,0.04,0.04,10.9296666666667
"151",14.95,1,1,2,50,50,0.02,0.02,0.04,10.56978
"152",15.05,1,1,2,50,50,0.02,0.02,0.04,10.82998
"153",15.15,0,0,0,50,50,0,0,0,11.10742
"154",15.25,0,0,0,50,50,0,0,0,11.00742
"155",15.35,0,2,2,50,52,0,0.0384615384615385,0.0384615384615385,10.90742
"156",15.45,1,1,2,52,52,0.0192307692307692,0.0192307692307692,0.0384615384615385,11.4300192307692
"157",15.55,1,0,1,52,51,0.0192307692307692,0,0.0192307692307692,11.7429423076923
"158",15.65,2,1,3,51,50,0.0392156862745098,0.02,0.0592156862745098,11.8716666666667
"159",15.75,1,0,1,50,49,0.02,0,0.02,12.50322
"160",15.85,2,0,2,49,47,0.0408163265306122,0,0.0408163265306122,12.6567959183673
"161",15.95,2,0,2,47,45,0.0425531914893617,0,0.0425531914893617,13.0937872340426
"162",16.05,0,3,3,45,48,0,0.0625,0.0625,13.5740444444444
"163",16.15,0,0,0,48,48,0,0,0,13.9100833333333
"164",16.25,0,0,0,48,48,0,0,0,13.8100833333333
"165",16.35,0,0,0,48,48,0,0,0,13.7100833333333
"166",16.45,1,1,2,48,48,0.0208333333333333,0.0208333333333333,0.0416666666666667,13.6100833333333
"167",16.55,0,1,1,48,49,0,0.0204081632653061,0.0204081632653061,13.5180416666667
"168",16.65,0,0,0,49,49,0,0,0,13.2260612244898
"169",16.75,0,1,1,49,50,0,0.02,0.02,13.1260612244898
"170",16.85,1,1,2,50,50,0.02,0.02,0.04,12.8314
"171",16.95,1,0,1,50,49,0.02,0,0.02,12.76958
"172",17.05,1,0,1,49,48,0.0204081632653061,0,0.0204081632653061,12.9285918367347
"173",17.15,2,1,3,48,47,0.0416666666666667,0.0212765957446809,0.0629432624113475,13.0967291666667
"174",17.25,0,0,0,47,47,0,0,0,13.4042765957447
"175",17.35,2,1,3,47,46,0.0425531914893617,0.0217391304347826,0.0642923219241443,13.3042765957447
