"","X.1","X","age","N.speciations","N.extinctions","N.turnover","N.species.speciation","N.species.extinction","raw.speciation.probability","raw.extinction.probability","raw.turnover.probability","HMM.speciation.state","HMM.speciation.state.probability","HMM.extinction.state","HMM.extinction.state.probability","HMM.turnover.probability"
"14",14,15,7,0,0,0,723,723,0,0,0,6,0.000195223214584221,5,4.03295753487198e-125,0.000195223214584221
"15",15,16,7.5,12,18,30,723,729,0.016597510373444,0.0246913580246914,0.0412888683981353,4,0.0269566795193272,3,0.0329385147723402,0.0598951942916675
"16",16,17,8,0,0,0,729,729,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"17",17,18,8.5,0,0,0,729,729,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"18",18,19,9,0,0,0,729,729,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"19",19,20,9.5,0,0,0,729,729,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"20",20,21,10,0,0,0,729,729,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"21",21,22,10.5,0,0,0,729,729,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"22",22,23,11,0,0,0,729,729,0,0,0,3,7.02455010011378e-44,2,5.15591926391112e-190,7.02455010011378e-44
"23",23,24,11.5,53,48,101,729,724,0.0727023319615912,0.0662983425414365,0.139000674503028,5,0.0719591206446811,6,0.0989071361694721,0.170866256814153
"24",24,25,12,0,0,0,724,724,0,0,0,6,0.000195223214584221,5,4.03295753487198e-125,0.000195223214584221
"25",25,26,12.5,0,0,0,724,724,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"26",26,27,13,0,0,0,724,724,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"27",27,28,13.5,0,0,0,724,724,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"28",28,29,14,0,0,0,724,724,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"29",29,30,14.5,0,0,0,724,724,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"30",30,31,15,0,0,0,724,724,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"31",31,32,15.5,0,0,0,724,724,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"32",32,33,16,64,38,102,724,698,0.0883977900552486,0.0544412607449857,0.142839050800234,5,0.0719591206446811,3,0.0329385147723402,0.104897635417021
"33",33,34,16.5,0,0,0,698,698,0,0,0,6,0.000195223214584221,5,4.03295753487198e-125,0.000195223214584221
"34",34,35,17,0,0,0,698,698,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"35",35,36,17.5,0,0,0,698,698,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"36",36,37,18,0,0,0,698,698,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"37",37,38,18.5,0,0,0,698,698,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"38",38,39,19,0,0,0,698,698,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"39",39,40,19.5,0,0,0,698,698,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"40",40,41,20,0,0,0,698,698,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"41",41,42,20.5,37,16,53,698,677,0.0530085959885387,0.0236336779911374,0.076642273979676,5,0.0719591206446811,3,0.0329385147723402,0.104897635417021
"42",42,43,21,0,0,0,677,677,0,0,0,6,0.000195223214584221,2,5.15591926391112e-190,0.000195223214584221
"43",43,44,21.5,0,0,0,677,677,0,0,0,6,0.000195223214584221,2,5.15591926391112e-190,0.000195223214584221
"44",44,45,22,0,0,0,677,677,0,0,0,6,0.000195223214584221,2,5.15591926391112e-190,0.000195223214584221
"45",45,46,22.5,0,0,0,677,677,0,0,0,6,0.000195223214584221,2,5.15591926391112e-190,0.000195223214584221
"46",46,47,23,83,49,132,677,643,0.122599704579025,0.0762052877138414,0.198804992292866,2,0.132340772852894,6,0.0989071361694721,0.231247909022366
"47",47,48,23.5,0,0,0,643,643,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"48",48,49,24,0,0,0,643,643,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"49",49,50,24.5,0,0,0,643,643,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"50",50,51,25,0,0,0,643,643,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"51",51,52,25.5,0,0,0,643,643,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"52",52,53,26,0,0,0,643,643,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"53",53,54,26.5,0,0,0,643,643,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"54",54,55,27,0,0,0,643,643,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"55",55,56,27.5,0,0,0,643,643,0,0,0,3,7.02455010011378e-44,2,5.15591926391112e-190,7.02455010011378e-44
"56",56,57,28,58,55,113,643,640,0.0902021772939347,0.0859375,0.176139677293935,5,0.0719591206446811,6,0.0989071361694721,0.170866256814153
"57",57,58,28.5,0,0,0,640,640,0,0,0,6,0.000195223214584221,8,0,0.000195223214584221
"58",58,59,29,0,0,0,640,640,0,0,0,6,0.000195223214584221,8,0,0.000195223214584221
