"","age","N.speciations","N.extinctions","N.turnover","N.species.speciation","N.species.extinction","raw.speciation.probability","raw.extinction.probability","HMM.speciation.state","HMM.speciation.state.probability","HMM.extinction.state","HMM.extinction.state.probability","HMM.turnover.probability","raw.turnover.probability"
"4673",467.200000000038,0,0,0,227,227,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4674",467.300000000038,0,0,0,227,227,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4675",467.400000000038,0,0,0,227,227,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4676",467.500000000038,0,0,0,227,227,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4677",467.600000000038,0,0,0,227,227,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4678",467.700000000038,0,0,0,227,227,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4679",467.800000000038,0,0,0,227,227,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4680",467.900000000038,0,0,0,227,227,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4681",468.000000000038,0,0,0,227,227,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4682",468.100000000038,0,0,0,227,227,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4683",468.200000000038,0,0,0,227,227,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4684",468.300000000038,0,0,0,227,227,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4685",468.400000000038,0,0,0,227,227,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4686",468.500000000038,0,0,0,227,227,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4687",468.600000000038,0,0,0,227,227,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4688",468.700000000038,0,0,0,227,227,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4689",468.800000000038,0,0,0,227,227,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4690",468.900000000038,0,0,0,227,227,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4691",469.000000000038,0,0,0,227,227,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4692",469.100000000038,0,0,0,227,227,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4693",469.200000000038,0,0,0,227,227,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4694",469.300000000038,0,0,0,227,227,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4695",469.400000000038,0,0,0,227,227,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4696",469.500000000038,0,0,0,227,227,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4697",469.600000000038,0,0,0,227,227,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4698",469.700000000038,0,0,0,227,227,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4699",469.800000000038,0,0,0,227,227,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4700",469.900000000038,0,0,0,227,227,0,0,3,3.70224524472115e-05,4,5.98912062592184e-38,3.70224524472115e-05,0
"4701",470.000000000038,50,25,75,227,202,0.220264317180617,0.123762376237624,1,0.270762523075801,3,0.0943959078005308,0.365158430876331,0.34402669341824
"4702",470.100000000038,0,0,0,202,202,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4703",470.200000000038,0,0,0,202,202,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4704",470.300000000038,0,0,0,202,202,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4705",470.400000000038,0,0,0,202,202,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4706",470.500000000038,0,0,0,202,202,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4707",470.600000000039,0,0,0,202,202,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4708",470.700000000039,0,0,0,202,202,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4709",470.800000000039,0,0,0,202,202,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4710",470.900000000039,0,0,0,202,202,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4711",471.000000000039,0,0,0,202,202,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4712",471.100000000039,0,0,0,202,202,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4713",471.200000000039,0,0,0,202,202,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4714",471.300000000039,0,0,0,202,202,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4715",471.400000000039,0,0,0,202,202,0,0,3,3.70224524472115e-05,4,5.98912062592184e-38,3.70224524472115e-05,0
