"","age","N.speciations","N.extinctions","N.turnover","N.species.speciation","N.species.extinction","raw.speciation.probability","raw.extinction.probability","raw.turnover.probability","HMM.speciation.state","HMM.speciation.state.probability","HMM.extinction.state","HMM.extinction.state.probability","HMM.turnover.probability"
"98",9.69999999999998,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"99",9.79999999999998,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"100",9.89999999999998,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"101",9.99999999999998,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"102",10.1,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"103",10.2,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"104",10.3,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"105",10.4,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"106",10.5,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"107",10.6,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"108",10.7,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"109",10.8,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"110",10.9,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"111",11,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"112",11.1,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"113",11.2,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"114",11.3,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"115",11.4,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"116",11.5,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"117",11.6,53,48,101,729,724,0.0727023319615912,0.0662983425414365,0.139000674503028,1,0.0949270629375426,3,0.089676509902248,0.184603572839791
"118",11.7,0,0,0,724,724,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"119",11.8,0,0,0,724,724,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"120",11.9,0,0,0,724,724,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"121",12,0,0,0,724,724,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"122",12.1,0,0,0,724,724,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"123",12.2,0,0,0,724,724,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"124",12.3,0,0,0,724,724,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"125",12.4,0,0,0,724,724,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
