"age","N.speciations","N.extinctions","N.turnover","N.species.speciation","N.species.extinction","raw.speciation.probability","raw.extinction.probability","raw.turnover.probability","existing_n","mean.lifespan"
"139",13.75,3,0,3,50,47,0.06,0,0.06,50,24.32704
"140",13.85,1,2,3,47,48,0.0212765957446809,0.0416666666666667,0.0629432624113475,47,25.0031276595745
"141",13.95,1,0,1,48,47,0.0208333333333333,0,0.0208333333333333,48,24.9754583333333
"142",14.05,0,2,2,47,49,0,0.0408163265306122,0.0408163265306122,47,25.2102765957447
"143",14.15,0,1,1,49,50,0,0.02,0.02,49,24.9202040816327
"144",14.25,1,1,2,50,50,0.02,0.02,0.04,50,24.73176
"145",14.35,2,1,3,50,49,0.04,0.0204081632653061,0.0604081632653061,50,25.10478
"146",14.45,1,0,1,49,48,0.0204081632653061,0,0.0204081632653061,49,25.5004285714286
"147",14.55,0,0,0,48,48,0,0,0,48,25.7296666666667
"148",14.65,0,0,0,48,48,0,0,0,48,25.7296666666667
"149",14.75,0,0,0,48,48,0,0,0,48,25.7296666666667
"150",14.85,0,2,2,48,50,0,0.04,0.04,48,25.7296666666667
"151",14.95,1,1,2,50,50,0.02,0.02,0.04,50,25.46978
"152",15.05,1,1,2,50,50,0.02,0.02,0.04,50,25.82998
"153",15.15,0,0,0,50,50,0,0,0,50,26.20742
"154",15.25,0,0,0,50,50,0,0,0,50,26.20742
"155",15.35,0,2,2,50,52,0,0.0384615384615385,0.0384615384615385,50,26.20742
"156",15.45,1,1,2,52,52,0.0192307692307692,0.0192307692307692,0.0384615384615385,52,26.8300192307692
"157",15.55,1,0,1,52,51,0.0192307692307692,0,0.0192307692307692,52,27.2429423076923
"158",15.65,2,1,3,51,50,0.0392156862745098,0.02,0.0592156862745098,51,27.4716666666667
"159",15.75,1,0,1,50,49,0.02,0,0.02,50,28.20322
"160",15.85,2,0,2,49,47,0.0408163265306122,0,0.0408163265306122,49,28.4567959183673
"161",15.95,2,0,2,47,45,0.0425531914893617,0,0.0425531914893617,47,28.9937872340426
"162",16.05,0,3,3,45,48,0,0.0625,0.0625,45,29.5740444444444
"163",16.15,0,0,0,48,48,0,0,0,48,30.0100833333333
"164",16.25,0,0,0,48,48,0,0,0,48,30.0100833333333
