format version:	1.2
date:	12/6/2012

ACTINOPODA	:	ACANTHARIA (Tintinnia; skeletal rods made of strintium sulfate)	RADIOLARIA (intricate mineral skeletons with inner and outer portion)	_METACOLUMN_OFF

ACANTHARIA (Tintinnia; skeletal rods made of strintium sulfate)	:	Order unnamed ACANTHARIA 

Order unnamed ACANTHARIA 	event					[For details click <a href="http://tolweb.org/notes/?note_id=52">Order unnamed ACANTHARIA </a>]. Order not named. 
FAD
	Astrolithium	23.03
	Chiastolus	55.96
LAD
	Astrolithium, Chiastolus	0.00


RADIOLARIA (intricate mineral skeletons with inner and outer portion)	:	NASSELLARIA (non-spherical internal skeleton with spines and connecting bars)	SPUMELLARIA (colonial, simple central capsule, no initial spicule)	ACTINOPODA - INCERTAE SEDIS	_METACOLUMN_ON

NASSELLARIA (non-spherical internal skeleton with spines and connecting bars)	event				on	[For details click <a href="http://tolweb.org/notes/?note_id=51">NASSELLARIA (non-spherical internal skeleton with spines and connecting bars)</a>]. 
FAD
	Favosyringium, Katroma, Morosyringium, Parapodocapsa, Podocapsa	139.39
	Acotripus, Andromeda, Cinguloturris, Eucyrtidiellum, Heloringulum, Perispyridium, Protunuma, Tetracapsa	145.01
	Bernoullius, Collicyrtidium, Saitoum, Turanta	148.53		?: Bernoullius
	Monosera, Williriedellum	157.25
	Milax, Pseudopoulpus	164.35
	Bagotum, Droltus, Lupherium	168.28
	Canoptum	169.45
	Lantus, Livarella, Poulpus, Rolumbus	174.15
	Canutus, Combusta, Crubus, Drulanta, Fantus, Farcus, Neowrangellium, Noritus, Paracanoptum, Pleesus, Protoperispyridium, Pseudoristola, Wrangellium	178.42
	Broctus, Parahsuum	182.70
	Relanus	199.30
	Abnormisphaera, Archeeucyrtis, Canesium, Eptingium	201.30
	Castrum, Corum, Latium, Pachus, Pseudosaturniforma, Quasipetosus, Triassocampe, Xipha	213.97
	Cryptostephanidium, Dictyomitrella, Hozmadia, Parapoulpus, Pylostephanidium, Ruesticyrtium, Spongosilicarmiger, Trialatus, Xiphotheca, Yeharaia	228.35
	Busuanga, Gomberellus	237.00
	Nebespecha	272.30


SPUMELLARIA (colonial, simple central capsule, no initial spicule)	event				on	[For details click <a href="http://tolweb.org/notes/?note_id=51">SPUMELLARIA (colonial, simple central capsule, no initial spicule)</a>]. 
FAD
	Liosphaera, Spongolonche, Thalassicola	0.01
	Tholonium	2.59
	Cenolarcopyle, Sphaerozoum	5.33
	Solenosphaera, Tetrapyle	11.63
	Diartus, Spongoplegma	15.97
	Acrosphaera, Callosphaera, Cannartiscus, Cromyodruppocarpus ,Cromyostaurolonche, Disolenia ,Dorydiscus, Dorydruppa, Doryphacus, Hexacladus, Hexaloncharium, Larcopyle, Larcospira, Larnacantha, Ommatartus, Ommatocampe, Phorticum, Pipetta, Pipettaria, Plegmosphaera, Siphonosphaera, Spongocore, Staurancistra, Styptosphaera, Trisolenia	23.03
	Cannartus	28.09
	Caucasicus, Cromyomma, Hexacromyum	37.75
	Actinomma, Astractura, Astrocyclia, Astrophacus, Coccolarnacium, Heliosoma, Heterosestrum, Sethodiscinus, Stylocyclia, Xiphatractus	47.84
	Amphicyclia, Astrococcus, Astromma, Astrosestrum, Cannartidium, Coccocyclia, Coccolarcus, Dicoccura, Distriactis, Druppocarpus, Heliocladus ,Hymenactura, Larcidium, Lithocyclia, Ommatospyris, Orostaurs, Pentactura, Perichlamydium, Phacostylus, Phacotriactis, Prunocarpus, Prunopyle, Sethostylus, Spongatractus, Spongopyle, Spongoxiphus, Spongurus, Stauralastrum, Staurococcura, Staurocyclia, Stylochlamydium	55.96
	Hexacontium, Hexalonche	57.60
	Cryptolarancium, Druppula, Entapium, Heliostylus, Ommatodiscus, Rhizoplegma	59.24
	Axoprunum, Dorylonchidium, Larnacalpis, Palaeotetraphyle, Stomatodiscus	66.04
	Pseudosaturnalis	67.50
	Coccodiscus	72.05
	Amphisphaera, Conocaryomma ,Kreyzstella ,Lithomespilus, Parvicuspis, Praestylosphaera, Stylatractus	83.64
	Amphimenium, Spongoprunum	86.26
	Polysolenia	89.77
	Cavaspongia	93.90
	Pseudoaulophacus	95.47
